Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS12800;-;oxidoreductase;0;1;-0.48;0.52664;-0.2;0.98853;-0.31;0.86536
SAUSA300_RS12805;-;GNAT family N-acetyltransferase;-0.1;1;0;1;-0.12;1;-0.43;0.51106
SAUSA300_RS12810;-;NAD(P)/FAD-dependent oxidoreductase;-0.28;0.97212;-0.46;0.24548;-0.21;0.82665;-0.42;0.31039
SAUSA300_RS12815;-;hypothetical protein;0.47;0.99124;-0.29;0.8327;0.07;1;0.07;1
SAUSA300_RS12820;-;DUF2871 domain-containing protein;0.48;0.89432;0.98;0;0.62;0.3763;0.67;0.15693
SAUSA300_RS12830;-;YhgE/Pip domain-containing protein;-0.37;0.85259;-0.35;0.40816;-0.22;0.8348;-0.23;0.76816
SAUSA300_RS12835;-;TetR/AcrR family transcriptional regulator;0.61;0.34093;-0.14;0.86942;-0.03;1;-0.08;1
SAUSA300_RS12840;-;magnesium transporter CorA family protein;0.01;1;-0.39;0.23026;-0.39;0.25299;-0.42;0.20489
SAUSA300_RS12845;-;sucrose-specific PTS transporter subunit IIBC;-0.25;0.98197;0.13;0.95761;0.1;0.99761;0.05;1
SAUSA300_RS12850;-;YbgA family protein;0.86;0.64902;-0.36;0.86942;-0.24;0.99166;-0.35;0.961
SAUSA300_RS12855;rsp;AraC family transcriptional regulator Rsp;1.46;0;0.31;0.42174;0.09;1;0.27;0.59265
SAUSA300_RS12860;-;pyridoxamine 5'-phosphate oxidase family protein;0.18;1;0.29;0.89186;0.25;1;0.15;1
SAUSA300_RS12865;-;DUF4889 domain-containing protein;1.03;0.574;1.19;0;0.73;0.01321;0.77;0.01782
SAUSA300_RS12870;-;cation:dicarboxylase symporter family transporter;0.09;1;-0.36;0.31189;0.03;1;-0.28;0.59265
SAUSA300_RS12875;-;DUF3139 domain-containing protein;-0.41;1;-0.05;1;0.2;1;-0.06;1
SAUSA300_RS12880;-;MarR family transcriptional regulator;-0.88;0.23253;0.05;1;-0.29;0.88965;-0.15;1
SAUSA300_RS12885;-;Hsp20/alpha crystallin family protein;0.63;0.64902;0.26;0.77889;0.22;0.80514;-0.06;1
SAUSA300_RS12890;-;NarK/NasA family nitrate transporter;-0.29;0.99124;-0.29;0.62465;-0.11;1;-0.07;1
SAUSA300_RS12895;-;DUF2268 domain-containing protein;0.76;0.1632;-0.2;0.63204;-0.15;0.94983;-0.18;0.75246
SAUSA300_RS12900;-;MerR family transcriptional regulator;0.39;0.91856;0.21;0.77889;0.27;0.76849;0.19;0.90306
SAUSA300_RS12905;nreC;nitrate respiration regulation response regulator NreC;-0.74;0.02095;0.19;0.87871;0.34;0.54283;0.1;1
SAUSA300_RS12910;nreB;nitrate respiration regulation sensor histidine kinase NreB;0.05;1;0.04;1;-0.13;0.96469;-0.06;1
SAUSA300_RS12915;nreA;nitrate respiration regulation accessory nitrate sensor NreA;0.44;1;-0.27;1;-0.44;0.9968;-0.61;0.75246
SAUSA300_RS12920;narI;respiratory nitrate reductase subunit gamma;0.28;0.98197;0.02;1;0.18;0.8348;-0.15;0.961
SAUSA300_RS12925;narJ;nitrate reductase molybdenum cofactor assembly chaperone;0.23;1;-0.09;1;0.1;1;0.2;0.95383
SAUSA300_RS12930;narH;nitrate reductase subunit beta;0.3;0.90275;0.11;0.87871;0.19;0.82665;0.26;0.5789
SAUSA300_RS12935;-;nitrate reductase subunit alpha;-0.13;0.99226;-0.29;0.19442;-0.18;0.67522;-0.2;0.63899
SAUSA300_RS12940;cobA;uroporphyrinogen-III C-methyltransferase;0.05;1;-0.03;1;0.11;0.99761;-0.13;1
SAUSA300_RS12945;nirD;nitrite reductase small subunit NirD;-0.03;1;-0.33;0.61467;-0.26;0.90823;-0.3;0.78233
SAUSA300_RS12950;nirB;nitrite reductase large subunit NirB;0.17;1;-0.15;0.8327;0.12;0.98853;0.1;1
SAUSA300_RS12955;-;sirohydrochlorin chelatase;-0.02;1;-0.74;0.26158;-0.28;0.98675;-0.82;0.20585
SAUSA300_RS12960;-;GNAT family N-acetyltransferase;1.13;0.43185;0.61;0.14931;0.35;0.802;0.09;1
SAUSA300_RS12965;-;formate/nitrite transporter family protein;0.53;0.85259;0.51;0.34073;0.47;0.60868;0.42;0.62165
SAUSA300_RS12970;-;hypothetical protein;-0.22;1;0.33;0.93712;0.19;0.99761;0.43;0.71684
SAUSA300_RS12975;-;SRPBCC domain-containing protein;-0.3;1;-0.17;1;-0.03;1;-0.3;1
SAUSA300_RS12980;adcA;zinc ABC transporter substrate-binding lipoprotein AdcA;0.25;0.99946;0.18;0.78619;0.16;0.98022;-0.03;1
SAUSA300_RS12985;-;Txe/YoeB family addiction module toxin;0.45;0.85259;0.45;0.45295;0.27;0.9646;0.2;0.961
SAUSA300_RS12990;-;type II toxin-antitoxin system Phd/YefM family antitoxin;0.2;1;-0.48;0.62465;-0.4;0.80514;-0.15;1
SAUSA300_RS12995;-;hypothetical protein;-0.15;1;-0.13;1;0.01;1;0;1
SAUSA300_RS13000;-;DsbA family protein;0.48;1;0.62;0.31652;0.56;0.44135;0.65;0.26876
SAUSA300_RS13005;-;DUF4467 domain-containing protein;0;1;-0.06;1;0.06;1;-0.41;0.71063
SAUSA300_RS13010;fmhA;FemA/FemB family glycyltransferase FmhA;0.14;1;-0.04;1;-0.05;1;-0.02;1
SAUSA300_RS13015;-;amino acid ABC transporter ATP-binding protein;0.37;0.96622;-0.05;1;-0.03;1;-0.08;1
SAUSA300_RS13020;-;amino acid ABC transporter permease;0.55;0.74329;-0.08;1;0.24;0.91805;0.11;1
SAUSA300_RS13025;-;transporter substrate-binding domain-containing protein;0.71;0.7041;0.44;0.42;0.49;0.34024;0.41;0.59265
SAUSA300_RS13030;mdeA;multidrug efflux MFS transporter MdeA;-0.49;0.69065;-0.3;0.5783;-0.19;0.98022;-0.21;0.85478
SAUSA300_RS13040;-;putative metal homeostasis protein;-0.4;1;-0.27;1;-0.65;0.89681;0.05;1
SAUSA300_RS13045;-;2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase;0.18;1;0.57;0.43489;0.26;0.94332;0.28;0.97746
SAUSA300_RS13050;-;cation diffusion facilitator family transporter;0.47;0.91856;-0.42;0.53236;-0.39;0.8348;-0.37;0.78233
SAUSA300_RS13055;-;hypothetical protein;1.76;0.45472;0.8;0.14603;0.91;0.20153;0.12;1
SAUSA300_RS13060;sbi;immunoglobulin-binding protein Sbi;0.18;1;0.07;1;0.11;1;-0.08;1
SAUSA300_RS13070;hlgA;bi-component gamma-hemolysin HlgAB subunit A;0.38;0.72791;-0.04;1;-0.15;0.94332;-0.19;0.92432
SAUSA300_RS13075;hlgC;bi-component gamma-hemolysin HlgCB subunit C;-0.68;0.25655;0.15;0.99283;0.16;0.98675;-0.08;1
SAUSA300_RS13080;hlgB;bi-component gamma-hemolysin HlgAB/HlgCB subunit B;0.76;0.4516;-0.17;0.95324;0.05;1;-0.1;1
SAUSA300_RS13085;-;QueT transporter family protein;0.95;0.33499;0.51;0.40816;0.53;0.45142;0.24;0.96793
SAUSA300_RS13090;-;6-carboxyhexanoate--CoA ligase;0.36;0.89432;0.16;0.94943;0.11;1;-0.03;1
SAUSA300_RS13095;-;pyridoxal phosphate-dependent aminotransferase family protein;0.07;1;-0.09;0.99283;0.03;1;-0.19;0.71684
SAUSA300_RS13100;bioB;biotin synthase BioB;0.31;0.96622;0.03;1;0.05;1;0.07;1
SAUSA300_RS13105;bioA;adenosylmethionine--8-amino-7-oxononanoate transaminase;0.29;0.91262;0.31;0.13522;0.29;0.17199;0.31;0.21319
SAUSA300_RS13110;bioD;dethiobiotin synthase;0.48;0.89432;0;1;-0.25;0.96469;-0.08;1
SAUSA300_RS13115;-;hypothetical protein;0.26;1;0.19;1;-0.07;1;-0.12;1
SAUSA300_RS13125;-;ABC transporter ATP-binding protein/permease;0.13;1;-0.27;0.23843;-0.26;0.40231;-0.19;0.65789
SAUSA300_RS13130;-;ABC transporter ATP-binding protein/permease;-0.17;1;-0.11;0.95324;-0.17;0.96952;-0.21;0.7329
SAUSA300_RS13140;-;type I toxin-antitoxin system Fst family toxin;2.5;0.64902;2.15;0.24951;2.67;0.40747;1.91;0.31777
SAUSA300_RS13145;gtxA;flippase GtxA;-0.1;1;-0.39;0.81241;-0.45;0.72322;-0.4;0.75246
SAUSA300_RS13150;-;glycerate kinase;0.06;1;-0.28;0.62465;0.08;1;-0.36;0.59265
SAUSA300_RS13155;-;membrane protein;-0.37;1;-0.34;0.88768;-0.29;0.96469;-0.4;0.95383
SAUSA300_RS13160;-;multidrug effflux MFS transporter;0.28;0.85259;0.34;0.37531;0.13;0.97418;0.19;0.79675
SAUSA300_RS13165;-;GyrI-like domain-containing protein;0.5;0.76439;-0.05;1;-0.19;0.99761;-0.19;0.90306
SAUSA300_RS13170;-;C39 family peptidase;0.5;0.85259;0.38;0.42978;0.39;0.55732;0.59;0.27923
SAUSA300_RS13175;-;metallophosphoesterase;0.78;0.50896;0.43;0.44287;0.44;0.39429;0.23;0.88532
SAUSA300_RS13180;-;amino acid permease;0.28;1;-0.02;1;0.01;1;0.04;1
SAUSA300_RS13185;-;sodium:proton antiporter;0.51;0.62937;0.15;0.81241;0.09;1;0.25;0.59265
SAUSA300_RS13195;-;APC family permease;0.17;1;-0.3;0.33553;-0.22;0.64656;-0.16;0.79675
SAUSA300_RS13205;-;serine hydrolase;0.38;0.64902;-0.28;0.27878;-0.03;1;-0.05;1
SAUSA300_RS13210;-;NAD(P)-dependent oxidoreductase;0.78;0.61022;0.37;0.31189;0.55;0.1297;0.27;0.67537
SAUSA300_RS13220;-;2-dehydropantoate 2-reductase;0.53;0.79858;0.34;0.43941;0.35;0.72322;0.22;0.74334
SAUSA300_RS13225;-;MFS transporter;-0.03;1;-0.03;1;0.09;1;0.01;1
SAUSA300_RS13230;-;ABC transporter permease;-0.51;0.74329;-0.14;0.96117;-0.07;1;0;1
SAUSA300_RS13235;-;osmoprotectant ABC transporter substrate-binding protein;-0.42;0.74329;0.07;1;0.19;0.93389;0.14;0.92617
SAUSA300_RS13240;-;ABC transporter permease;-0.43;0.8278;-0.25;0.8569;-0.29;0.7907;-0.24;0.85478
SAUSA300_RS13245;-;ABC transporter ATP-binding protein;-0.52;0.64902;-0.11;1;0.04;1;-0.15;1
SAUSA300_RS13250;-;hypothetical protein;-0.84;1;1.79;1;2.04;1;2.37;0.69663
SAUSA300_RS13255;-;hypothetical protein;-0.07;1;-0.32;1;0.38;0.98416;-0.61;0.92617
SAUSA300_RS13260;-;YdeI family protein;0.49;0.85259;-0.03;1;-0.13;1;-0.11;1
SAUSA300_RS13265;-;APC family permease;0.02;1;0.22;0.61467;0.07;1;-0.02;1
SAUSA300_RS13270;-;carboxylesterase/lipase family protein;0.53;0.67203;-0.05;1;0;1;0.04;1
SAUSA300_RS13275;-;MFS transporter;0.5;0.8632;0.32;0.401;0.34;0.5947;0.25;0.79675
SAUSA300_RS13280;fetB;iron export ABC transporter permease subunit FetB;-0.57;0.85259;-0.04;1;-0.25;0.94983;-0.18;0.98454
SAUSA300_RS13285;-;ATP-binding cassette domain-containing protein;0.17;1;-0.75;0.27878;-0.41;0.80514;-0.7;0.38277
SAUSA300_RS13290;-;M42 family metallopeptidase;0.54;0.95283;-0.1;1;0.13;1;0.07;1
SAUSA300_RS13295;-;Txe/YoeB family addiction module toxin;0.81;0.8632;0.14;1;-0.08;1;-0.34;1
SAUSA300_RS13300;-;type II toxin-antitoxin system Phd/YefM family antitoxin;-1.58;0.01727;0.29;0.86942;-0.37;0.85164;-0.15;1
SAUSA300_RS13310;-;DUF1307 domain-containing protein;0.04;1;0.02;1;0.03;1;0.01;1
SAUSA300_RS13315;-;FMN-binding glutamate synthase family protein;-0.27;0.98491;-0.33;0.55493;-0.21;0.76849;-0.37;0.42388
SAUSA300_RS13320;-;hypothetical protein;0.46;0.79858;-0.07;1;-0.08;1;-0.2;0.92617
SAUSA300_RS13325;-;MFS transporter;0.05;1;-2.01;0;-1.15;0;-1.02;0
SAUSA300_RS13330;-;ABC transporter ATP-binding protein;0.02;1;0.12;1;0;1;-0.03;1
SAUSA300_RS13335;-;ABC transporter ATP-binding protein;-0.74;0.58623;-0.44;0.63204;-0.71;0.3334;-0.59;0.53705
SAUSA300_RS13340;-;ABC transporter permease;-0.16;1;-0.09;1;-0.16;0.94332;-0.26;0.71063
SAUSA300_RS13345;-;ABC transporter permease;0.26;0.99946;0.09;1;0.13;1;0.07;1
SAUSA300_RS13350;cntA;staphylopine-dependent metal ABC transporter substrate-binding protein CntA;-0.3;0.90275;0.06;1;0;1;0.21;0.78233
SAUSA300_RS13355;cntM;staphylopine dehydrogenase CntM;-0.32;1;-0.08;1;-0.07;1;0.05;1
SAUSA300_RS13360;cntL;D-histidine (S)-2-aminobutanoyltransferase CntL;0.3;1;-0.12;1;-0.04;1;-0.01;1
SAUSA300_RS13365;cntK;histidine racemase CntK;-0.05;1;-0.21;0.845;-0.07;1;-0.21;0.85478
SAUSA300_RS13370;-;hypothetical protein;0.38;0.91856;-0.05;1;-0.13;0.98675;-0.01;1
SAUSA300_RS13375;-;SDR family oxidoreductase;0.23;1;0.21;0.87871;0.44;0.5947;0.12;1
SAUSA300_RS13380;-;AbgT family transporter;0.05;1;-0.3;0.62465;-0.28;0.802;-0.54;0.32488
SAUSA300_RS13385;-;carboxymuconolactone decarboxylase family protein;-0.37;1;-0.57;0.8264;-0.86;0.8831;-0.48;0.9739
SAUSA300_RS13390;-;DUF1433 domain-containing protein;0.7;0.58623;-0.16;1;-0.13;1;0.03;1
SAUSA300_RS13395;-;DUF1433 domain-containing protein;0.46;0.99946;-0.17;1;-0.06;1;0.02;1
SAUSA300_RS13405;-;DUF1433 domain-containing protein;0.9;0.42105;0.02;1;0.26;0.87315;0.23;0.87719
SAUSA300_RS13410;-;SDR family oxidoreductase;0.09;1;-0.25;0.62465;0.01;1;-0.15;0.87719
SAUSA300_RS13415;-;single-stranded DNA-binding protein;0.74;0.49024;-0.65;0.18963;-0.45;0.5947;-0.66;0.30723
SAUSA300_RS13420;-;hypothetical protein;0.35;0.99124;-0.35;0.75694;-0.26;0.99975;-0.51;0.59265
SAUSA300_RS13425;-;hypothetical protein;-0.18;1;-0.77;0.55493;0.23;1;0.44;0.93411
SAUSA300_RS13430;-;tandem-type lipoprotein;0.8;0.50896;-0.07;1;0.01;1;-0.02;1
SAUSA300_RS13435;-;hypothetical protein;-1.02;0.85259;-0.5;0.99283;-0.1;1;-0.36;1
SAUSA300_RS13440;-;hypothetical protein;1;0.85259;0.8;0.2022;0.69;0.24623;0.4;0.71063
SAUSA300_RS13450;-;hypothetical protein;0.03;1;-0.04;1;-0.29;0.64931;-0.11;1
SAUSA300_RS13455;-;tandem-type lipoprotein;-0.2;1;-0.09;1;0.07;1;0.2;1
SAUSA300_RS13460;-;tandem-type lipoprotein;-0.12;1;-0.11;1;-0.11;1;-0.42;0.63899
SAUSA300_RS13465;-;DUF3427 domain-containing protein;0.22;0.77745;-0.15;0.61467;-0.07;1;-0.03;1
SAUSA300_RS13470;-;(deoxy)nucleoside triphosphate pyrophosphohydrolase;0.03;1;-0.02;1;-0.66;0.55732;-0.32;0.90306
SAUSA300_RS13475;-;phospho-sugar mutase;0.34;1;-0.3;0.88768;-0.23;0.99166;-0.21;0.90306
SAUSA300_RS13480;-;hypothetical protein;1.23;0.24813;-0.13;1;-0.62;0.28998;-0.07;1
SAUSA300_RS13485;-;hypothetical protein;0.37;0.91262;-0.24;0.8264;-0.17;0.98853;-0.39;0.59265
SAUSA300_RS13490;-;hypothetical protein;0.79;0.67203;0.27;0.74038;-0.14;0.96952;-0.22;0.86536
SAUSA300_RS13495;-;MFS transporter;0.24;0.89432;-0.14;0.8264;-0.17;0.802;-0.27;0.42388
SAUSA300_RS13510;sarT;HTH-type transcriptional regulator SarT;0.51;0.72791;0.05;1;0.31;0.69942;0.09;1
SAUSA300_RS13515;sarU;HTH-type transcriptional regulator SarU;-0.21;1;-0.26;0.7068;-0.13;1;-0.19;0.97746
SAUSA300_RS13525;fnbB;fibronectin-binding protein FnbB;-0.09;1;-0.11;0.86447;-0.13;0.87315;-0.25;0.49488
SAUSA300_RS13530;fnbA;fibronectin-binding protein FnbA;0.11;1;-0.07;0.99937;-0.05;1;-0.1;0.961
SAUSA300_RS13535;-;hypothetical protein;1.17;0.99946;0.21;1;0.55;0.99761;0.83;0.45096
SAUSA300_RS13545;-;gluconate:H+ symporter;0.05;1;-0.2;0.72823;-0.01;1;-0.12;1
SAUSA300_RS13550;gntK;gluconokinase;-0.08;1;-0.01;1;0;1;0.11;1
SAUSA300_RS13555;-;GntR family transcriptional regulator;1.9;0.62937;0.38;0.66252;0.38;0.63197;0.84;0.08223
SAUSA300_RS13560;-;MerR family transcriptional regulator;-0.13;1;-0.08;1;-0.15;0.99761;-0.08;1
SAUSA300_RS13565;-;GTP pyrophosphokinase family protein;-0.16;1;-0.09;1;-0.05;1;0.07;1
SAUSA300_RS13570;-;DUF2188 domain-containing protein;-0.53;0.98491;0.46;0.90175;0.55;0.88965;0.43;0.88532
SAUSA300_RS13575;-;FUSC family protein;0.25;0.98491;-0.08;1;-0.01;1;-0.1;1
SAUSA300_RS13580;-;MFS transporter;0.58;0.63928;0.36;0.22411;0.29;0.50152;0.28;0.56412
SAUSA300_RS13585;-;DedA family protein;0.16;1;-0.34;0.53236;0.04;1;0;1
SAUSA300_RS13590;-;hypothetical protein;-4.42;0.09357;-1.18;1;-1.58;0.99761;-1.22;1
SAUSA300_RS13595;-;MFS transporter;-0.63;0.12759;-0.23;0.62465;-0.11;0.98853;-0.16;0.87719
SAUSA300_RS13600;-;MarR family transcriptional regulator;0.19;1;0.16;0.91776;0.11;1;0.1;1
SAUSA300_RS13605;-;ATP-binding cassette domain-containing protein;-0.07;1;-0.83;0.31189;-0.53;0.7907;-0.64;0.59265
SAUSA300_RS13610;-;ABC transporter permease;0.53;0.85259;-0.23;0.79712;-0.05;1;-0.2;0.93411
SAUSA300_RS13615;-;fructose-1%2C6-bisphosphatase;1.37;0.63928;0.79;0.3945;1.06;0.06894;1.03;0.45096
SAUSA300_RS13625;-;membrane protein;-0.78;0.16228;-0.03;1;-0.24;0.87299;-0.31;0.65789
SAUSA300_RS13630;-;alpha/beta hydrolase;-0.83;0.7041;-0.22;0.99937;-0.25;1;-0.23;1
SAUSA300_RS13635;-;ring-cleaving dioxygenase;0.18;1;-0.3;0.52664;-0.11;1;-0.19;0.90306
SAUSA300_RS13640;-;MarR family transcriptional regulator;-0.42;0.99124;0.12;1;0.34;0.98853;-0.01;1
SAUSA300_RS13645;-;GNAT family N-acetyltransferase;0.91;0.77745;-0.05;1;0.19;0.98416;-0.07;1
SAUSA300_RS13650;-;VOC family protein;-0.02;1;0.51;0.42241;0.61;0.61022;0.52;0.42388
SAUSA300_RS13655;-;NAD(P)H-dependent oxidoreductase;0.51;0.67203;0.15;0.9686;0.27;0.94983;0.19;0.98563
SAUSA300_RS13660;-;D-lactate dehydrogenase;-0.06;1;-0.14;0.93712;0.01;1;-0.2;0.90306
SAUSA300_RS13665;-;Cof-type HAD-IIB family hydrolase;0.75;0.55111;-0.12;0.98684;0.11;1;0.16;0.96793
SAUSA300_RS13670;-;ATP-binding cassette domain-containing protein;0.7;0.77745;-0.01;1;0.26;0.97418;0.11;1
SAUSA300_RS13675;-;peptide ABC transporter permease;0;1;-0.19;0.72823;-0.04;1;-0.13;1
SAUSA300_RS13680;srtA;class A sortase SrtA;0.52;1;-0.01;1;-0.11;1;0.66;0.75246
SAUSA300_RS13685;-;GNAT family N-acetyltransferase;0.31;0.98491;-0.21;0.86447;-0.14;1;-0.05;1
SAUSA300_RS13690;-;hypothetical protein;0.35;1;0.06;1;-0.02;1;0.05;1
SAUSA300_RS13695;-;hypothetical protein;-1.63;0.42105;-1.05;0.37531;-1.22;0.45142;-0.77;0.76816
SAUSA300_RS13700;sdaAA;L-serine ammonia-lyase%2C iron-sulfur-dependent%2C subunit alpha;-0.63;0.99124;-0.13;1;-0.11;1;-0.09;1
SAUSA300_RS13705;sdaAB;L-serine ammonia-lyase%2C iron-sulfur-dependent subunit beta;-0.56;0.90275;-0.37;0.96117;0.25;1;-0.12;1
SAUSA300_RS13710;-;PTS fructose transporter subunit IIC;0.11;1;-0.44;0.34684;-0.14;0.99166;-0.49;0.32875
SAUSA300_RS13715;-;hypothetical protein;-1.51;0.31051;0.53;0.63204;0.13;1;0.07;1
SAUSA300_RS13720;-;DMT family transporter;0.62;0.54209;0.03;1;-0.01;1;-0.09;1
SAUSA300_RS13725;-;alpha/beta hydrolase;0.14;1;-0.32;0.72823;-0.3;0.85164;-0.41;0.59265
SAUSA300_RS13730;-;thioredoxin family protein;0.45;1;0.22;1;-0.11;1;-0.16;1
SAUSA300_RS13735;-;acyl-CoA thioesterase;0.53;0.99554;0.29;0.81241;0.68;0.25299;0.4;0.47619
SAUSA300_RS13740;ptsG;glucose-specific PTS transporter subunit IIBC;0.19;0.99124;-0.2;0.63204;-0.12;0.98416;-0.05;1
SAUSA300_RS13745;-;pyruvate oxidase;0.31;0.89432;0.35;0.07574;0.38;0.13558;0.3;0.30723
SAUSA300_RS13750;-;LrgB family protein;0.29;1;0.05;1;-0.03;1;0.21;0.97746
SAUSA300_RS13755;cidA;holin-like murein hydrolase modulator CidA;-1.08;0.1749;0.08;1;0.03;1;0.15;1
SAUSA300_RS13760;-;LysR family transcriptional regulator;0.38;0.81531;0.05;1;-0.1;1;0.12;1
SAUSA300_RS13765;-;sterile alpha motif-like domain-containing protein;-0.54;1;1.1;0.19442;1.39;0.72322;0.91;0.59265
SAUSA300_RS13770;-;CHAP domain-containing protein;0.68;0.62937;-0.15;0.96117;-0.25;0.89681;-0.09;1
SAUSA300_RS13775;-;hypothetical protein;-1.78;0.50542;0.57;0.48817;0.1;1;0.3;0.96793
SAUSA300_RS13785;-;hypothetical protein;-0.4;0.87915;-0.61;0.39778;-0.48;0.76849;-0.64;0.47347
SAUSA300_RS13800;-;methylated-DNA--[protein]-cysteine S-methyltransferase;0.23;1;-0.13;1;-0.05;1;-0.15;1
SAUSA300_RS13805;clpL;ATP-dependent Clp protease ATP-binding subunit ClpL;0.06;1;-0.14;0.91776;-0.09;1;0.04;1
SAUSA300_RS13810;-;FeoB-associated Cys-rich membrane protein;0.17;1;0.3;0.91776;0.32;0.8348;0.55;0.63899
SAUSA300_RS13815;feoB;ferrous iron transport protein B;0.26;0.8632;-0.04;1;-0.08;1;0.14;0.82127
SAUSA300_RS13820;-;ferrous iron transport protein A;0.04;1;0.37;0.8569;0.66;0.61022;0.39;0.80885
SAUSA300_RS13825;farE;fatty acid efflux MMPL transporter FarE;-0.2;0.94265;-0.24;0.44963;-0.07;1;-0.23;0.59265
SAUSA300_RS13830;farR;fatty acid efflux pump transcriptional regulator FarR;-0.77;0.48922;-0.1;1;-0.34;0.76849;-0.06;1
SAUSA300_RS13835;-;hypothetical protein;0.23;1;-0.23;0.97452;0.52;0.96952;0.09;1
SAUSA300_RS13840;pruA;L-glutamate gamma-semialdehyde dehydrogenase;0.81;0.64902;1.19;0;0.79;0.0802;1.06;0.05104
SAUSA300_RS13845;-;sugar O-acetyltransferase;0.41;1;0.67;0.02315;0.65;0.06894;0.49;0.24623
SAUSA300_RS13850;cwrA;cell wall inhibition responsive protein CwrA;-1.53;0.56422;0.27;0.94943;0.39;1;-0.28;1
SAUSA300_RS13855;-;heavy metal translocating P-type ATPase;-0.04;1;0.01;1;-0.05;1;-0.02;1
SAUSA300_RS13860;copZ;copper chaperone CopZ;-1.08;0.89432;-0.17;1;-0.01;1;-0.18;1
SAUSA300_RS13865;-;D-lactate dehydrogenase;-0.28;0.97212;-0.2;0.79712;-0.38;0.41385;-0.29;0.71063
SAUSA300_RS13870;-;aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme;-0.14;1;-0.29;0.52664;-0.23;0.76849;-0.29;0.71684
SAUSA300_RS13875;-;NAD(P)/FAD-dependent oxidoreductase;-0.6;0.33499;-0.52;0.14931;-0.54;0.12955;-0.36;0.51708
SAUSA300_RS13880;-;phytoene/squalene synthase family protein;-0.74;0.0484;-0.38;0.28258;-0.26;0.74561;-0.51;0.10628
SAUSA300_RS13885;crtQ;4%2C4'-diaponeurosporenoate glycosyltransferase;0.49;0.74329;-0.09;1;0.22;0.93389;0.08;1
SAUSA300_RS13890;-;NAD(P)/FAD-dependent oxidoreductase;0.53;0.53288;-0.07;1;-0.07;1;-0.11;1
SAUSA300_RS13895;crtO;glycosyl-4%2C4'-diaponeurosporenoate acyltransferase;-0.36;0.93212;0.02;1;-0.14;1;-0.16;1
SAUSA300_RS13900;-;CHAP domain-containing protein;0;1;-0.05;1;-0.16;0.93389;-0.24;0.63899
SAUSA300_RS13905;-;acetyltransferase;0.3;0.79858;-0.37;0.19442;-0.1;1;-0.29;0.59265
SAUSA300_RS13910;-;GNAT family N-acetyltransferase;0.12;1;-0.33;0.4251;-0.08;1;-0.32;0.63899
SAUSA300_RS13915;isaA;lytic transglycosylase IsaA;0.3;1;0.79;0.53236;0.62;0.75076;1.14;0.38277
SAUSA300_RS13920;-;PTS transporter subunit IIC;0.11;1;0.03;1;0.09;1;0;1
SAUSA300_RS13930;-;TetR/AcrR family transcriptional regulator;-0.04;1;-0.47;0.77285;-0.1;1;0.18;1
SAUSA300_RS13940;-;DUF896 domain-containing protein;1.27;1;0.7;0.08333;0.41;0.76849;0.71;0.21319
SAUSA300_RS13945;-;VOC family protein;-0.17;1;0.35;0.91359;0.49;0.63197;0.94;0.31777
SAUSA300_RS13950;-;NmrA/HSCARG family protein;0.01;1;-0.15;0.91359;-0.06;1;-0.11;1
SAUSA300_RS13955;-;DUF2316 family protein;-0.48;0.85259;-0.5;0.55493;-0.47;0.75076;-0.5;0.74492
SAUSA300_RS13960;-;TetR/AcrR family transcriptional regulator;0.33;1;0.72;0.23026;0.01;1;0.55;0.58007
SAUSA300_RS13965;-;SDR family NAD(P)-dependent oxidoreductase;0.83;0.74329;0.23;0.95761;0.44;0.67888;0.18;1
SAUSA300_RS13970;-;amidohydrolase family protein;0.2;1;-0.16;0.90175;-0.01;1;-0.11;1
SAUSA300_RS13975;-;alpha/beta hydrolase;0.42;0.8632;0.15;0.95324;0.22;0.802;0.34;0.48167
SAUSA300_RS13980;-;GTP-binding protein;-0.71;0.27675;-0.29;0.66252;-0.06;1;0.02;1
SAUSA300_RS13985;-;ferrous iron transporter B;0.12;1;0.05;1;0.11;1;-0.21;0.90306
SAUSA300_RS13990;-;NAD(P)-binding domain-containing protein;0.56;0.69065;0.19;0.90175;0.23;0.8348;0.15;0.9739
SAUSA300_RS13995;-;DUF4176 domain-containing protein;0.43;1;-0.51;0.92903;-0.47;1;-0.84;0.62165
SAUSA300_RS14000;-;hypothetical protein;-1.63;0.23253;-0.26;1;-0.31;1;-0.3;1
SAUSA300_RS14005;-;TIGR04197 family type VII secretion effector;-0.67;0.84393;-0.39;0.90175;-0.08;1;-0.3;0.96793
SAUSA300_RS14010;-;fructosamine kinase family protein;0.01;1;0.21;1;0.08;1;-0.23;1
SAUSA300_RS14015;-;quinone-dependent dihydroorotate dehydrogenase;-0.06;1;0.92;0.29978;0.31;1;0.88;0.546
